bo,title,genres,budjet,year,rating,peoplesID,mid,date
42321,States of Grace,Drama,800000,2005,381|7|0000000113,8497|11267|56512|63611|66455|69735|80354|81635|87142|91240|94711|96656|97571|99219|102272|109741|113244|5|113661|115379|116358|130211|131526|145706|151376|154969|156330|4348|174958|175077|183441|186799|187187|189399|201333|207987|209785|210221|218390|223241|224613|225582|18412|11267|23666|29352|31201|36568|11267|1239,4135,2005/11/6
3251856,Superbabies: Baby Geniuses 2,"Comedy,Family",0,2004,20230|1.9|6000000002,8263|31146|42376|47116|49551|58053|63021|63641|74762|77786|80132|80146|80151|81463|87617|90946|94746|96682|96683|100891|101787|105454|109485|110861|110863|112356|112734|117924|118100|120266|131464|135318|144013|144014|148190|148223|149017|151641|155744|158424|36894|165216|7529|7536|170001|170354|172601|172602|191506|204850|210500|210812|211574|219935|224892|231000|232852|17385|21186|23270|24749|28434|29387|31146|10849|2118,2736,2004/8/29
6352,Tamo i ovde,"Comedy,Drama",300000,2009,698|6.2|0000012101,9047|9563|12761|16780|5|77524|103624|109569|129304|135557|151912|155863|157324|159713|6447|184880|199738|203363|205457|212410|15814|17995|20023|20837|26190|27218|12761|30223|13312|31265|31376|34429|35165|12761|3101,6336,2010/5/16
1425915,Illegal Tender,"Crime,Drama,Thriller",8000000,2007,1755|5.2|1000111001,9987|13738|47707|52723|60379|69427|71549|71794|77623|86288|91140|92834|121455|126023|128640|131653|31299|143155|145602|153088|6454|178177|181487|183401|184556|195090|203100|204697|210113|210116|216908|217681|219313|220237|220808|221538|236514|21642|23619|24434|14189|37669|13738|460,5407,2007/8/26
22051,Taking Sides,"Drama,Music,War",0,2001,2343|7|0000012211,9737|40542|47891|49116|54716|56363|69167|75895|77535|82523|85780|89432|92231|92808|93674|93859|97807|25782|108214|115173|119481|122728|137494|137892|139910|141907|144150|144385|34646|14410|153585|155007|155257|156733|157838|163557|164161|165329|168329|168332|168562||210927|224665|16729|17882|19317|23674|24875|28463|28758|29527|30327|31092|31495|32705|32988|33568|36926|36975|14410|1804,2626,2003/9/7
10087,Ghetto Physics,Drama,500000,2010,52|3.3|20.00.0003,|10173|10588|43955|49390|51469|10588|67781|75491|81373|81401|87377|5|100929|27050|112514|112842|131743|136205|155044|161915|163200|163214|4661|170695|172386|182760|183088|185175|190429|194760|199904|199989|201777|204068|204643|209471|217394|219823|220207|221825|234917|15361|10173|10588|10173|10588|,6872,2010/10/10
1100,A Chemical Skyline,"Action,Horror,Thriller",1600,2010,17|1.6|40......04,|39144|3395|59652|75356|90748|99418|137030|137853|137854|137916|137948|149726|158894|3583|166271|5907|194998|217574|32106|3395|35649|3583|3395|3395|3583,7624,2010/11/1
710,Green Guys,"Crime,Thriller",130000,2011,205|4.1|1001000002,8969|13191|17311|60338|18584|70344|83727|108937|109088|114839|123307|128749|31440|136891|141510|142829|150739|151241|36136|156896|7308|208100|221960|33598|17311|17855|18584|20040|20369|29081|13191|31618|33598|35725|13191|2171,7294,2012/10/24
84617303,The Hobbit: An Unexpected Journey,"Adventure,Fantasy",180000000,2012,267178|8.2|0000001222,7882|8937|9755|17273|11105|12146|43438|37083|46783|47908|50988|10357|54542|55976|56175|57954|58036|60502|62155|62495|68919|81866|85538|86604|89337|89894|92694|94497|95109|95926|96069|103802|104432|108359|117111|117956|117999|118136|118587|118930|120039|121165|125347|126679|127299|129184|136584|138462|139190|145651|145965|151514|152103|155416|157278|157469|157953|158515|37255|163755|165798|6947|174553|178335|197750|16901|17273|19497|20521|20937|24503|12146|25512|29682|37031|37083|37316|12146|1974,5855,2012/12/16
282881,Josh,"Action,Drama,Musical,Romance",0,2000,2874|5.7|0000121001,8672|9399|40956|12399|43504|14666|53612|101217|25937|143761|148077|148163|150608|159452|159508|4154|5928|191083|199170|5|213897|219215|25014|25020|12399|1661,1574,2000/6/11
7877,The Turandot Project,"Documentary,Music",0,2000,95|7.2|..00013111,8839||45877|50997|63817|20758|82183|86172|88369|107294|109410|110197|116538|118887|138804|162956|14968||178596|189537|189995|195134|228092|228750|236689|17250|20758|24015|26209|32595|33619|34713|34726|13064|1530,2639,2001/8/12
11039214,The Replacements,"Comedy,Sport",50000000,2000,33523|6.3|0000122100,9201|41729|43956|45334|45638|46554|48376|49914|50913|51180|51845|54326|54899|57600|58038|62551|63134|65056|65220|66170|66881|68084|68879|69064|70403|71460|72244|72249|73177|73451|74636|20901|21052|77966|78566|11397|81489|81644|82760|83368|84551|85556|86493|86986|23438|89438|90563|90853|92968|93109|93969|93998|94997|96594|96811|97404|99897|100506|101269|25814|102476|104983|105229|106473|107149|107482|108492|110295|111566|112422|113073|113532|114240|114529|115086|115254|115371|118022|118343|120288|122366|123419|124093|127937|128072|130107|130933|131801|132886|32229|137180|138339|140290|141045|5|143428|143821|144277|145172|33971|146654|148569|149333|149349|150003|150272|150705|150830|152804|153861|154543|156972|157743|160393|160797|161669|161817|161920|162755|164400|164465|164589|164646|165005|165158|166219|166351|166881|167083|167347|4644|15936|171726|172229|172953|173686|174146|177191|177460|179722|181497|181544|182225|182735|185180|185744|20660|188312|188570|188747|192088|192428|195740|196704|196850|197105|197818|198127|198260|198783|199552|199804|200156|200580|203095|203319|205592|206351|210220|210769|212133|212162|212809|212866|215461|216676|217218|217719|219875|222903|223673|228571|230543|231067|231508|232014|233320|236815|18578|32341|33971|35066|35379|11140|1146,1986,2000/8/13
3602245,Teacher's Pet,"Animation,Comedy,Family,Fantasy,Musical",10000000,2004,896|5.6|0000111001,|16226|35246|35247|74212|80397|84090|87101|107017|114374|130906|137568|138116|146412|150722|151772|151797|153341|155413|7152|169051|189192|194218|202976|212501|222235|227623|230484|234496|16226|23744|35246|35247|35661|10428|,3612,2004/1/18
4136,Vatel,"Biography,Drama,Romance",36000000,2000,4683|6.5|0000112100,9535|12532|43228|45358|47555|48530|50077|51235|52512|52658|59740|63669|63674|64927|70304|70766|11131|75586|80980|82627|82712|85636|85900|87235|87692|88004|91718|95137|95175|106373|125297|125627|133416|134254|134823|139315|13863|140829|143004|143673|145704|150143|151443|155290|160488|6200|174556|178900|181505|182318|182921|183978|185031|189578|193901|201904|202676|203306|204402|214872|221907|43418|231318|232627|17140|17829|22741|12223|29745|12223|1123,1979,2000/12/25
